name,panelName,geneDescription_graph_id,oncogenicCategory_graph_id,synonymsString_graph_id,MyGeneInfoGene_graph_id,JaxGene_graph_id,UniprotEntry_graph_Id,graph_id
PTCH1,PTCH1,es_20200501140111640000,es_20200422174428886585,es_20200422174428886601,geneInfo_gene_5727,jax_gene_5727,uniprot_Q13635,omnigene_5727
PRKCI,PRKCI,es_20200601134753368000,es_20200422174414424098,es_20200422174414424118,geneInfo_gene_5584,jax_gene_5584,uniprot_P41743,omnigene_5584
PRKDC,PRKDC,es_20200601135349280000,es_20200422174422546540,es_20200422174422546559,geneInfo_gene_5591,jax_gene_5591,uniprot_P78527,omnigene_5591
PTEN,PTEN,es_2020043014541309000,es_20200422174432765768,es_20200422174432765785,geneInfo_gene_5728,jax_gene_5728,uniprot_P60484,omnigene_5728
QKI,QKI,es_20200422174450117159,es_20200422174450117185,es_20200422174450117203,geneInfo_gene_9444,jax_gene_9444,uniprot_Q96PU8,omnigene_9444
PTPN11,PTPN11,es_20200506140810503000,es_20200422174435933766,es_20200422174435933784,geneInfo_gene_5781,jax_gene_5781,uniprot_Q06124,omnigene_5781
RB1,RB1,es_20200430160024363000,es_20200422174538599917,es_20200422174538599936,geneInfo_gene_5925,jax_gene_5925,uniprot_P06400,omnigene_5925
RPS6KA4,RPS6KA4,es_20200422174615077819,es_20200422174615077837,es_20200422174615077854,geneInfo_gene_8986,jax_gene_8986,uniprot_O75676,omnigene_8986
PTPRS,PTPRS,es_2020060115423391000,es_20200422174442777254,es_20200422174442777271,geneInfo_gene_5802,jax_gene_5802,uniprot_Q13332,omnigene_5802
PTPRT,PTPRT,es_20200422174445759312,es_20200422174445759330,es_20200422174445759346,geneInfo_gene_11122,jax_gene_11122,uniprot_O14522,omnigene_11122
RAD52,RAD52,es_20200422174514876101,es_20200422174514876119,es_20200422174514876135,geneInfo_gene_5893,jax_gene_5893,uniprot_P43351,omnigene_5893
RAB35,RAB35,es_20200422174452091725,es_20200422174452091742,es_20200422174452091758,geneInfo_gene_11021,jax_gene_11021,uniprot_Q15286,omnigene_11021
RAD50,RAD50,es_20200422174502264212,es_20200422174502264238,es_20200422174502264256,geneInfo_gene_10111,jax_gene_10111,uniprot_Q92878,omnigene_10111
RAC1,RAC1,es_20200507134726428000,es_20200422174455166320,es_20200422174455166338,geneInfo_gene_5879,jax_gene_5879,uniprot_P63000,omnigene_5879
RAD21,RAD21,es_20200422174459030564,es_20200422174459030592,es_20200422174459030610,geneInfo_gene_5885,jax_gene_5885,uniprot_O60216,omnigene_5885
RAD51,RAD51,es_20200422174506241462,es_20200422174506241489,es_20200422174506241507,geneInfo_gene_5888,jax_gene_5888,uniprot_Q06609,omnigene_5888
RAD51D,RAD51D,es_20200422174512651418,es_20200422174512651435,es_20200422174512651452,geneInfo_gene_5892,jax_gene_5892,uniprot_O75771,omnigene_5892
RAF1,RAF1,es_20200507141055927000,es_20200422174519864201,es_20200422174519864217,geneInfo_gene_5894,jax_gene_5894,uniprot_P04049,omnigene_5894
RAD51B,RAD51B,es_20200422174508183691,es_20200422174508183709,es_20200422174508183726,geneInfo_gene_5890,jax_gene_5890,uniprot_O15315,omnigene_5890
RAD54L,RAD54L,es_20200422174516226105,es_20200422174516226123,es_20200422174516226140,geneInfo_gene_8438,jax_gene_8438,uniprot_Q92698,omnigene_8438
RECQL4,RECQL4,es_20200422174544230461,es_20200422174544230481,es_20200422174544230500,geneInfo_gene_9401,jax_gene_9401,uniprot_O94761,omnigene_9401
RAD51C,RAD51C,es_20200422174510796598,es_20200422174510796616,es_20200422174510796632,geneInfo_gene_5889,jax_gene_5889,uniprot_O43502,omnigene_5889
RIT1,RIT1,es_20200422174607370748,es_20200422174607370765,es_20200422174607370781,geneInfo_gene_6016,jax_gene_6016,uniprot_Q92963,omnigene_6016
RANBP2,RANBP2,es_20200422174527557587,es_20200422174527557615,es_20200422174527557633,geneInfo_gene_5903,jax_gene_5903,uniprot_P49792,omnigene_5903
RARA,RARA,es_20200422174532340809,es_20200422174532340841,es_20200422174532340860,geneInfo_gene_5914,jax_gene_5914,uniprot_P10276,omnigene_5914
REL,REL,es_20200422174546121268,es_20200422174546121289,es_20200422174546121308,geneInfo_gene_5966,jax_gene_5966,uniprot_Q04864,omnigene_5966
RASA1,RASA1,es_20200422174534657128,es_20200422174534657154,es_20200422174534657177,geneInfo_gene_5921,jax_gene_5921,uniprot_P20936,omnigene_5921
RBM10,RBM10,es_20200422174541174700,es_20200422174541174730,es_20200422174541174751,geneInfo_gene_8241,jax_gene_8241,uniprot_P98175,omnigene_8241
RHEB,RHEB,es_20200511112819300000,es_20200422174555081463,es_20200422174555081480,geneInfo_gene_6009,jax_gene_6009,uniprot_Q15382,omnigene_6009
ROS1,ROS1,es_20200508094359625000,es_20200422174613370828,es_20200422174613370845,geneInfo_gene_6098,jax_gene_6098,uniprot_P08922,omnigene_6098
COP1,RFWD2,es_20200514160956812000,es_20200422174553077073,es_20200422174553077090,geneInfo_gene_64326,jax_gene_64326,uniprot_Q8NHY2,omnigene_64326
RICTOR,RICTOR,es_20200422174605118426,es_20200422174605118443,es_20200422174605118460,geneInfo_gene_253260,jax_gene_253260,uniprot_Q6R327,omnigene_253260
RET,RET,es_20200506100836351000,es_20200422174550647811,es_20200422174550647829,geneInfo_gene_5979,jax_gene_5979,uniprot_P07949,omnigene_5979
RHOA,RHOA,es_20200508090631330000,es_20200422174602447964,es_20200422174602447982,geneInfo_gene_387,jax_gene_387,uniprot_P61586,omnigene_387
RNF43,RNF43,es_20200422174611032467,es_20200422174611032494,es_20200422174611032512,geneInfo_gene_54894,jax_gene_54894,uniprot_Q68DV7,omnigene_54894
RPTOR,RPTOR,es_20200422174629013527,es_20200422174629013545,es_20200422174629013561,geneInfo_gene_57521,jax_gene_57521,uniprot_Q8N122,omnigene_57521
RPS6KB1,RPS6KB1,es_20200508111930856000,es_20200422174623325895,es_20200422174623325913,geneInfo_gene_6198,jax_gene_6198,uniprot_P23443,omnigene_6198
SDHA,SDHA,es_20200422174648100268,es_20200422174648100294,es_20200422174648100312,geneInfo_gene_6389,jax_gene_6389,uniprot_P31040,omnigene_6389
RPS6KB2,RPS6KB2,es_20200422174626827593,es_20200422174626827619,es_20200422174626827636,geneInfo_gene_6199,jax_gene_6199,uniprot_Q9UBS0,omnigene_6199
SDHB,SDHB,es_20200422174652147988,es_20200422174652148005,es_20200422174652148022,geneInfo_gene_6390,jax_gene_6390,uniprot_P21912,omnigene_6390
SH2B3,SH2B3,es_20200422174715053510,es_20200422174715053528,es_20200422174715053544,geneInfo_gene_10019,jax_gene_10019,uniprot_Q9UQQ2,omnigene_10019
RUNX1,RUNX1,es_20200422174634226991,es_20200422174634227017,es_20200422174634227035,geneInfo_gene_861,jax_gene_861,uniprot_Q01196,omnigene_861
SDHD,SDHD,es_20200422174657365998,es_20200422174657366016,es_20200422174657366032,geneInfo_gene_6392,jax_gene_6392,uniprot_O14521,omnigene_6392
RUNX1T1,RUNX1T1,es_20200422174638521378,es_20200422174638521405,es_20200422174638521422,geneInfo_gene_862,jax_gene_862,uniprot_Q06455,omnigene_862
RYBP,RYBP,es_20200422174644957022,es_20200422174644957048,es_20200422174644957066,geneInfo_gene_23429,jax_gene_23429,uniprot_Q8N488,omnigene_23429
SETBP1,SETBP1,es_20200422174659551224,es_20200422174659551242,es_20200422174659551259,geneInfo_gene_26040,jax_gene_26040,uniprot_Q9Y6X0,omnigene_26040
SDHAF2,SDHAF2,es_20200427111743935000,es_20200422174650268208,es_20200422174650268224,geneInfo_gene_54949,,uniprot_Q9NX18,omnigene_54949
SMARCA4,SMARCA4,es_20200422174736348946,es_20200422174736348964,es_20200422174736348980,geneInfo_gene_6597,jax_gene_6597,uniprot_P51532,omnigene_6597
SNCAIP,SNCAIP,es_20200422174753885306,es_20200422174753885324,es_20200422174753885341,geneInfo_gene_9627,jax_gene_9627,uniprot_Q9Y6H5,omnigene_9627
SDHC,SDHC,es_20200422174654270601,es_20200422174654270619,es_20200422174654270635,geneInfo_gene_6391,jax_gene_6391,uniprot_Q99643,omnigene_6391
SETD2,SETD2,es_20200422174707392164,es_20200422174707392201,es_20200422174707392219,geneInfo_gene_29072,jax_gene_29072,uniprot_Q9BYW2,omnigene_29072
SHQ1,SHQ1,es_20200422174720053466,es_20200422174720053484,es_20200422174720053501,geneInfo_gene_55164,jax_gene_55164,uniprot_Q6PI26,omnigene_55164
SF3B1,SF3B1,es_20200506133515614000,es_20200422174712787255,es_20200422174712787273,geneInfo_gene_23451,jax_gene_23451,uniprot_O75533,omnigene_23451
SLIT2,SLIT2,es_20200422174722526893,es_20200422174722526911,es_20200422174722526927,geneInfo_gene_9353,jax_gene_9353,uniprot_O94813,omnigene_9353
SMAD3,SMAD3,es_20200422174731333980,es_20200422174731333998,es_20200422174731334015,geneInfo_gene_4088,jax_gene_4088,uniprot_P84022,omnigene_4088
SMARCB1,SMARCB1,es_2020050514472109000,es_20200422174739312852,es_20200422174739312869,geneInfo_gene_6598,jax_gene_6598,uniprot_Q12824,omnigene_6598
SH2D1A,SH2D1A,es_20200422174718143262,es_20200422174718143287,es_20200422174718143305,geneInfo_gene_4068,jax_gene_4068,uniprot_O60880,omnigene_4068
SMAD2,SMAD2,es_20200422174728628278,es_20200422174728628296,es_20200422174728628312,geneInfo_gene_4087,jax_gene_4087,uniprot_Q15796,omnigene_4087
SMC1A,SMC1A,es_20200422174746453384,es_20200422174746453401,es_20200422174746453417,geneInfo_gene_8243,jax_gene_8243,uniprot_Q14683,omnigene_8243
SOX17,SOX17,es_20200422174802264683,es_20200422174802264700,es_20200422174802264717,geneInfo_gene_64321,jax_gene_64321,uniprot_Q9H6I2,omnigene_64321
SLX4,SLX4,es_20200422174725558367,es_20200422174725558385,es_20200422174725558401,geneInfo_gene_84464,jax_gene_84464,uniprot_Q8IY92,omnigene_84464
SMAD4,SMAD4,es_20200430132841230000,es_20200422174734021246,es_20200422174734021264,geneInfo_gene_4089,jax_gene_4089,uniprot_Q13485,omnigene_4089
SMARCD1,SMARCD1,es_20200422174743632834,es_20200422174743632860,es_20200422174743632877,geneInfo_gene_6602,jax_gene_6602,uniprot_Q96GM5,omnigene_6602
SOX2,SOX2,es_20200506151149168000,es_20200422174804486864,es_20200422174804486883,geneInfo_gene_6657,jax_gene_6657,uniprot_P48431,omnigene_6657
SMO,SMO,es_20200506102519362000,es_20200422174751881736,es_20200422174751881754,geneInfo_gene_6608,jax_gene_6608,uniprot_Q99835,omnigene_6608
SRSF2,SRSF2,es_20200422174825384608,es_20200422174825384625,es_20200422174825384641,geneInfo_gene_6427,jax_gene_6427,uniprot_Q01130,omnigene_6427
STAG1,STAG1,es_20200422174826952742,es_20200422174826952760,es_20200422174826952777,geneInfo_gene_10274,jax_gene_10274,uniprot_Q8WVM7,omnigene_10274
SOCS1,SOCS1,es_20200422174756766672,es_20200422174756766690,es_20200422174756766707,geneInfo_gene_8651,jax_gene_8651,uniprot_O15524,omnigene_8651
SPEN,SPEN,es_20200422174809887590,es_20200422174809887608,es_20200422174809887623,geneInfo_gene_23013,jax_gene_23013,uniprot_Q96T58,omnigene_23013
SPOP,SPOP,es_20200507142605249000,es_20200422174812634061,es_20200422174812634078,geneInfo_gene_8405,jax_gene_8405,uniprot_O43791,omnigene_8405
STAG2,STAG2,es_20200422174829982721,es_20200422174829982740,es_20200422174829982756,geneInfo_gene_10735,jax_gene_10735,uniprot_Q8N3U4,omnigene_10735
SOX9,SOX9,es_20200422174807494967,es_20200422174807494995,es_20200422174807495013,geneInfo_gene_6662,jax_gene_6662,uniprot_P48436,omnigene_6662
SPTA1,SPTA1,es_20200422174815095930,es_20200422174815095948,es_20200422174815095964,geneInfo_gene_6708,jax_gene_6708,uniprot_P02549,omnigene_6708
SRC,SRC,es_20200508135944818000,es_20200422174822128012,es_20200422174822128031,geneInfo_gene_6714,jax_gene_6714,uniprot_P12931,omnigene_6714
STAT1,STAT1,es_20200423071851799449,es_20200422174833968059,es_20200422174833968077,geneInfo_gene_6772,jax_gene_6772,uniprot_P42224,omnigene_6772
STAT5B,STAT5B,es_20200422174850530366,es_20200422174850530383,es_20200422174850530399,geneInfo_gene_6777,jax_gene_6777,uniprot_P51692,omnigene_6777
STAT3,STAT3,es_20200511110717928000,es_20200422174842732593,es_20200422174842732611,geneInfo_gene_6774,jax_gene_6774,uniprot_P40763,omnigene_6774
STK40,STK40,es_20200422174855260820,es_20200422174855260837,es_20200422174855260853,geneInfo_gene_83931,jax_gene_83931,uniprot_Q8N2I9,omnigene_83931
SUZ12,SUZ12,es_20200422174906024452,es_20200422174906024470,es_20200422174906024486,geneInfo_gene_23512,jax_gene_23512,uniprot_Q15022,omnigene_23512
STAT4,STAT4,es_20200422174845439697,es_20200422174845439715,es_20200422174845439731,geneInfo_gene_6775,jax_gene_6775,uniprot_Q14765,omnigene_6775
STAT5A,STAT5A,es_20200422174848555487,es_20200422174848555505,es_20200422174848555521,geneInfo_gene_6776,jax_gene_6776,uniprot_P42229,omnigene_6776
TCF3,TCF3,es_20200422174925149750,es_20200422174925149767,es_20200422174925149783,geneInfo_gene_6929,jax_gene_6929,uniprot_P15923,omnigene_6929
STK11,STK11,es_20200501111548764000,es_20200422174853589899,es_20200422174853589917,geneInfo_gene_6794,jax_gene_6794,uniprot_Q15831,omnigene_6794
SUFU,SUFU,es_20200422174902267317,es_20200422174902267344,es_20200422174902267361,geneInfo_gene_51684,jax_gene_51684,uniprot_Q9UMX1,omnigene_51684
TERC,TERC,es_20200422174929434711,es_20200422174929434730,es_20200422174929434746,geneInfo_gene_7012,jax_gene_7012,,omnigene_7012
SYK,SYK,es_20200422174909985100,es_20200422174909985128,es_20200422174909985146,geneInfo_gene_6850,jax_gene_6850,uniprot_P43405,omnigene_6850
TCF7L2,TCF7L2,es_20200422174928633540,es_20200422174928633558,es_20200422174928633574,geneInfo_gene_6934,jax_gene_6934,uniprot_Q9NQB0,omnigene_6934
TAF1,TAF1,es_20200422174914911507,es_20200422174914911534,es_20200422174914911553,geneInfo_gene_6872,jax_gene_6872,uniprot_P21675,omnigene_6872
TBX21,TBX21,es_20200423071852759724,es_20200422174918700183,es_20200422174918700201,geneInfo_gene_30009,,uniprot_Q9UL17,omnigene_30009
TBX3,TBX3,es_20200422174921416200,es_20200422174921416218,es_20200422174921416234,geneInfo_gene_6926,jax_gene_6926,uniprot_O15119,omnigene_6926
TET2,TET2,es_20200430161143592000,es_20200422174938984539,es_20200422174938984556,geneInfo_gene_54790,jax_gene_54790,uniprot_Q6N021,omnigene_54790
ELOC,TCEB1,es_20200427111842370000,es_20200422174923077889,es_20200422174923077905,geneInfo_gene_6921,jax_gene_6921,uniprot_Q15369,omnigene_6921
TERT,TERT,es_20200507152157613000,es_20200422174932629084,es_20200422174932629100,geneInfo_gene_7015,jax_gene_7015,uniprot_O14746,omnigene_7015
TET1,TET1,es_20200422174935712331,es_20200422174935712357,es_20200422174935712375,geneInfo_gene_80312,jax_gene_80312,uniprot_Q8NFU7,omnigene_80312
TFE3,TFE3,es_20200422174941964064,es_20200422174941964091,es_20200422174941964109,geneInfo_gene_7030,jax_gene_7030,uniprot_P19532,omnigene_7030
TFRC,TFRC,es_20200422174944522587,es_20200422174944522612,es_20200422174944522630,geneInfo_gene_7037,jax_gene_7037,uniprot_P02786,omnigene_7037
TIAF1,TIAF1,es_20200422174954328583,es_20200422174954328600,es_20200422174954328616,geneInfo_gene_9220,,uniprot_O95411,omnigene_9220
TGFB1,TGFB1,es_20200423071853291239,es_20200422174947462782,es_20200422174947462799,geneInfo_gene_7040,jax_gene_7040,uniprot_P01137,omnigene_7040
TGFBR1,TGFBR1,es_20200422174949958788,es_20200422174949958806,es_20200422174949958822,geneInfo_gene_7046,jax_gene_7046,uniprot_P36897,omnigene_7046
TNFRSF18,TNFRSF18,es_20200423071901549272,es_20200422175011869053,es_20200422175011869068,geneInfo_gene_8784,,uniprot_Q9Y5U5,omnigene_8784
TGFBR2,TGFBR2,es_20200422174952160937,es_20200422174952160955,es_20200422174952160970,geneInfo_gene_7048,jax_gene_7048,uniprot_P37173,omnigene_7048
TMEM127,TMEM127,es_20200422174956356111,es_20200422174956356129,es_20200422174956356145,geneInfo_gene_55654,jax_gene_55654,uniprot_O75204,omnigene_55654
TNFRSF9,TNFRSF9,es_20200423071902996115,es_20200422175015449278,es_20200422175015449294,geneInfo_gene_3604,,uniprot_Q07011,omnigene_3604
TMPRSS2,TMPRSS2,es_20200422174959977589,es_20200422174959977618,es_20200422174959977636,geneInfo_gene_7113,jax_gene_7113,uniprot_O15393,omnigene_7113
TNF,TNF,es_20200423071859160947,es_20200422175004127358,es_20200422175004127376,geneInfo_gene_7124,jax_gene_7124,uniprot_P01375,omnigene_7124
TNFSF4,TNFSF4,es_20200423071903547395,es_20200422175018320728,es_20200422175018320744,geneInfo_gene_7292,jax_gene_7292,uniprot_P23510,omnigene_7292
TNFAIP3,TNFAIP3,es_20200422175007143979,es_20200422175007143997,es_20200422175007144013,geneInfo_gene_7128,jax_gene_7128,uniprot_P21580,omnigene_7128
TP63,TP63,es_20200422175033168674,es_20200422175033168692,es_20200422175033168708,geneInfo_gene_8626,jax_gene_8626,uniprot_Q9H3D4,omnigene_8626
TNFRSF14,TNFRSF14,es_20200423071900652337,es_20200422175010193803,es_20200422175010193821,geneInfo_gene_8764,jax_gene_8764,uniprot_Q92956,omnigene_8764
TOP1,TOP1,es_20200422175020380313,es_20200422175020380331,es_20200422175020380347,geneInfo_gene_7150,jax_gene_7150,uniprot_P11387,omnigene_7150
TNFRSF4,TNFRSF4,es_20200423071902121820,es_20200422175013390373,es_20200422175013390389,geneInfo_gene_7293,jax_gene_7293,uniprot_P43489,omnigene_7293
TOP2A,TOP2A,es_20200422175024007799,es_20200422175024007816,es_20200422175024007831,geneInfo_gene_7153,jax_gene_7153,uniprot_P11388,omnigene_7153
TRAF2,TRAF2,es_20200422175035826618,es_20200422175035826636,es_20200422175035826652,geneInfo_gene_7186,jax_gene_7186,uniprot_Q12933,omnigene_7186
XRCC2,XRCC2,es_20200422175116245857,es_20200422175116245875,es_20200422175116245891,geneInfo_gene_7516,jax_gene_7516,uniprot_O43543,omnigene_7516
TP53,TP53,es_20200429160937246000,es_20200422175030548240,es_20200422175030548257,geneInfo_gene_7157,jax_gene_7157,uniprot_P04637,omnigene_7157
TSC2,TSC2,es_20200501132908608000,es_20200422175048425736,es_20200422175048425753,geneInfo_gene_7249,jax_gene_7249,uniprot_P49815,omnigene_7249
TRAF7,TRAF7,es_20200422175038751530,es_20200422175038751558,es_20200422175038751575,geneInfo_gene_84231,jax_gene_84231,uniprot_Q6Q0C0,omnigene_84231
TSC1,TSC1,es_20200501131902846000,es_20200422175044164328,es_20200422175044164345,geneInfo_gene_7248,jax_gene_7248,uniprot_Q92574,omnigene_7248
VHL,VHL,es_20200505145839436000,es_20200422175059543631,es_20200422175059543647,geneInfo_gene_7428,jax_gene_7428,uniprot_P40337,omnigene_7428
XIAP,XIAP,es_20200422175111270539,es_20200422175111270556,es_20200422175111270573,geneInfo_gene_331,jax_gene_331,uniprot_P98170,omnigene_331
TSHR,TSHR,es_20200422175052010128,es_20200422175052010155,es_20200422175052010173,geneInfo_gene_7253,jax_gene_7253,uniprot_P16473,omnigene_7253
U2AF1,U2AF1,es_2020050515515896000,es_20200422175053665166,es_20200422175053665182,geneInfo_gene_7307,jax_gene_7307,uniprot_P0DN76,omnigene_7307
XPO1,XPO1,es_20200511105715953000,es_20200422175113853760,es_20200422175113853776,geneInfo_gene_7514,jax_gene_7514,uniprot_O14980,omnigene_7514
VEGFA,VEGFA,es_20200422175056224737,es_20200422175056224755,es_20200422175056224772,geneInfo_gene_7422,jax_gene_7422,uniprot_P15692,omnigene_7422
VTCN1,VTCN1,es_20200422175101899932,es_20200422175101899951,es_20200422175101899967,geneInfo_gene_79679,jax_gene_79679,uniprot_Q7Z7D3,omnigene_79679
CCN6,WISP3,es_20200427111913610000,es_20200422175104241995,es_20200422175104242013,geneInfo_gene_8838,jax_gene_8838,uniprot_O95389,omnigene_8838
WT1,WT1,es_20200504141318908000,es_20200422175108629547,es_20200422175108629564,geneInfo_gene_7490,jax_gene_7490,uniprot_P19544,omnigene_7490
YAP1,YAP1,es_20200422175122744753,es_20200422175122744782,es_20200422175122744799,geneInfo_gene_10413,jax_gene_10413,uniprot_P46937,omnigene_10413
ZRSR2,ZRSR2,es_20200422175142801060,es_20200422175142801078,es_20200422175142801094,geneInfo_gene_8233,jax_gene_8233,uniprot_Q15696,omnigene_8233
YES1,YES1,es_20200422175124989063,es_20200422175124989080,es_20200422175124989096,geneInfo_gene_7525,jax_gene_7525,uniprot_P07947,omnigene_7525
ZBTB2,ZBTB2,es_20200422175127618066,es_20200422175127618083,es_20200422175127618098,geneInfo_gene_57621,jax_gene_57621,uniprot_Q8N680,omnigene_57621
ZNF703,ZNF703,es_20200422175141228255,es_20200422175141228273,es_20200422175141228289,geneInfo_gene_80139,jax_gene_80139,uniprot_Q9H7S9,omnigene_80139
ZBTB7A,ZBTB7A,es_20200422175132126513,es_20200422175132126539,es_20200422175132126557,geneInfo_gene_51341,jax_gene_51341,uniprot_O95365,omnigene_51341
ZFHX3,ZFHX3,es_20200422175137225610,es_20200422175137225639,es_20200422175137225656,geneInfo_gene_463,jax_gene_463,uniprot_Q15911,omnigene_463
ZNF217,ZNF217,es_20200507130645865000,es_20200422175139284104,es_20200422175139284119,geneInfo_gene_7764,jax_gene_7764,uniprot_O75362,omnigene_7764
CTAG2,CTAG2,es_20200423071817792369,es_20200422181530260614,es_20200422181530260638,geneInfo_gene_30848,jax_gene_30848,uniprot_O75638,omnigene_30848
CXCR2,CXCR2,es_20200423071821468185,es_20200422181538558693,es_20200422181538558718,geneInfo_gene_3579,,uniprot_P25025,omnigene_3579
MAGEA3,MAGEA3,es_20200423071837974541,es_20200422181559825060,es_20200422181559825086,geneInfo_gene_4102,jax_gene_4102,uniprot_P43357,omnigene_4102
CTAG1B,CTAG1B,es_20200423071816291626,es_20200422181526766182,es_20200422181526766208,geneInfo_gene_1485,jax_gene_1485,uniprot_P78358,omnigene_1485
MAGEA4,MAGEA4,es_20200423071838961814,es_20200422181603230723,es_20200422181603230751,geneInfo_gene_4103,jax_gene_4103,uniprot_P43358,omnigene_4103
MAGEA1,MAGEA1,es_20200423071835725490,es_20200422181557373970,es_20200422181557373996,geneInfo_gene_4100,jax_gene_4100,uniprot_P43355,omnigene_4100
NECTIN2,NECTIN2,es_20200423071844363046,es_20200422181609478140,es_20200422181609478166,geneInfo_gene_5819,,uniprot_Q92692,omnigene_5819
SSX2,SSX2,es_20200423071850479020,es_20200422181618429416,es_20200422181618429448,geneInfo_gene_6757,jax_gene_6757,uniprot_Q16385,omnigene_6757
PVR,PVR,es_20200423071848487578,es_20200422181615641447,es_20200422181615641471,geneInfo_gene_5817,,uniprot_P15151,omnigene_5817
TIGIT,TIGIT,es_20200423071853864985,es_20200422181622733289,es_20200422181622733316,geneInfo_gene_201633,,uniprot_Q495A1,omnigene_201633
TLR7,TLR7,es_20200423071854774972,es_20200422181627172338,es_20200422181627172365,geneInfo_gene_51284,jax_gene_51284,uniprot_Q9NYK1,omnigene_51284
TLR8,TLR8,es_20200423071856867428,es_20200422181636396851,es_20200422181636396877,geneInfo_gene_51311,,uniprot_Q9NR97,omnigene_51311
TLR9,TLR9,es_20200423071858015096,es_20200422181641056731,es_20200422181641056756,geneInfo_gene_54106,,uniprot_Q9NR96,omnigene_54106
TTC6,TTC6,es_20200430155214233284,es_20200430155214233303,es_20200430155214233315,geneInfo_gene_319089,,,omnigene_319089
SYNE1,SYNE1,es_20200430115905760000,es_20200430155446696447,es_20200430155446696459,geneInfo_gene_23345,,uniprot_Q8NF91,omnigene_23345
STT3A,STT3A,es_20200430123502128000,es_20200430163421664871,es_20200430163421664896,geneInfo_gene_3703,,uniprot_P46977,omnigene_3703
